split_type,model_name,fraction,seed,test_mse,test_cross_entropy
problem,ev,0.92,42,0.06501115886038804,0.7253576467266556
problem,eu,0.92,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.92,42,0.050790928960393354,0.6943100471164279
problem,pt5,0.92,42,0.05049453850625004,0.6937167931547267
problem,ev,0.94,42,0.06501115886038804,0.7253576467266556
problem,eu,0.94,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.94,42,0.05078301109196457,0.6942942134150726
problem,pt5,0.94,42,0.05049440883058434,0.6937165272940017
problem,ev,0.96,42,0.06501115886038804,0.7253576467266556
problem,eu,0.96,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.96,42,0.05077833601368969,0.6942848651033061
problem,pt5,0.96,42,0.05049516827631547,0.6937180759965599
problem,ev,0.98,42,0.06501115886038804,0.7253576467266556
problem,eu,0.98,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.98,42,0.05078176523954645,0.694291722149806
problem,pt5,0.98,42,0.05049459443621643,0.6937169075447
problem,ev,1.0,42,0.06501115886038804,0.7253576467266556
problem,eu,1.0,42,0.050946500504190154,0.6946228716706773
problem,pt3,1.0,42,0.0507811923484053,0.6942905765818798
problem,pt5,1.0,42,0.050494437839544944,0.6937165868618623
parameter_amb,ev,0.02,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.02,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.02,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt5,0.02,42,0.054647710161509724,0.6954111652951989
parameter_amb,ev,0.04,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.04,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.04,42,0.054347537721531704,0.6948070083176395
parameter_amb,pt5,0.04,42,0.053784856909001644,0.6936805477376798
parameter_amb,ev,0.06,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.06,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.06,42,0.05488780299179084,0.6958892492747207
parameter_amb,pt5,0.06,42,0.053765358001085346,0.6936409407918092
parameter_amb,ev,0.08,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.08,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.08,42,0.05450673744013535,0.6951257884726673
parameter_amb,pt5,0.08,42,0.053577817378258,0.6932655598462817
parameter_amb,ev,0.1,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.1,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.1,42,0.05470723556985171,0.695527418893541
parameter_amb,pt5,0.1,42,0.05405628890724372,0.6942233616056811
parameter_amb,ev,0.12,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.12,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.12,42,0.054340450358650795,0.6947928197934458
parameter_amb,pt5,0.12,42,0.05368226234338265,0.6934745801870973
parameter_amb,ev,0.14,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.14,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.14,42,0.0546275257779158,0.6953677290442762
parameter_amb,pt5,0.14,42,0.054071428520006015,0.6942536776266837
parameter_amb,ev,0.16,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.16,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.16,42,0.05462798632614989,0.6953686516358966
parameter_amb,pt5,0.16,42,0.053765358001085346,0.6936409407918092
parameter_amb,ev,0.18,42,0.06823183389692086,0.7253045588060919
