family,model_id,N,seed,mse,r2,correlation,cross_entropy,rmse,mae,parse_success_rate,sens_mse_parse_ok,sens_cross_entropy_parse_ok,sens_mae_parse_ok
llm,qwen2.5:7b-instruct,128,42,0.09259141206432304,-0.9333444382231422,0.14549308803330038,0.8475088809351258,0.3042883699130203,0.24190029712341848,1.0,0.09259141206432304,0.8475088809351258,0.24190029712341848
llm,qwen2.5:7b-instruct,128,43,0.09616791814228128,-1.0080232662043835,0.15085185255216352,0.878537825083981,0.3101095260424634,0.24389499933786257,1.0,0.09616791814228128,0.878537825083981,0.24389499933786257
neural,context-dependent(s),4,42,0.04947253282256321,-0.03300558923184327,0.06795287389364033,0.6961345331137803,0.22242421815657398,0.18140054677426531,1.0,0.04947253282256321,0.6961345331137803,0.18140054677426531
neural,context-dependent(s),4,43,0.05010650495664022,-0.04624317220071261,-0.00835168651282611,0.6974307782052602,0.2238448233858452,0.18218964996106604,1.0,0.05010650495664022,0.6974307782052602,0.18218964996106604
neural,context-dependent(s),8,42,0.048001887760670936,-0.0022979524476181012,0.008188150976634155,0.6931859983901324,0.219093331164303,0.17964394359854213,1.0,0.048001887760670936,0.6931859983901324,0.17964394359854213
neural,context-dependent(s),8,43,0.08016393551638722,-0.6738539290125356,0.17150386157825523,0.7614270658626059,0.28313236395083347,0.23303796716068964,1.0,0.08016393551638722,0.7614270658626059,0.23303796716068964
neural,context-dependent(s),16,42,0.0499794730622045,-0.04359069719132802,-0.21744027065820673,0.6971699276320992,0.223560893409837,0.18251089670017465,1.0,0.0499794730622045,0.6971699276320992,0.18251089670017465
neural,context-dependent(s),16,43,0.04797718501666241,-0.0017821496137164772,-0.03540132296268989,0.6931368506586493,0.21903694897588036,0.17917352419792362,1.0,0.04797718501666241,0.6931368506586493,0.17917352419792362
neural,context-dependent(s),32,42,0.04791614454123399,-0.0005076009158950789,0.04494555804201226,0.6930147780227776,0.21889756632094837,0.17933471139226834,1.0,0.04791614454123399,0.6930147780227776,0.17933471139226834
neural,context-dependent(s),32,43,0.04849227718555347,-0.01253747300381658,-0.11350945405371934,0.694168191963231,0.2202096210104215,0.18023218768540478,1.0,0.04849227718555347,0.694168191963231,0.18023218768540478
neural,context-dependent(s),64,42,0.040032096262202346,0.16411437158798658,0.44931748342147215,0.6775510316805197,0.20008022456555358,0.16433202591355633,1.0,0.040032096262202346,0.6775510316805197,0.16433202591355633
neural,context-dependent(s),64,43,0.049337024730177606,-0.030176127936167862,-0.02651362113080936,0.695875383814913,0.2221193929628334,0.180920976797983,1.0,0.049337024730177606,0.695875383814913,0.180920976797983
neural,context-dependent(s),128,42,0.03619079065811948,0.24432231592746578,0.5174467282518727,0.668833439512166,0.1902387727518223,0.1555699975733958,1.0,0.03619079065811948,0.668833439512166,0.1555699975733958
neural,context-dependent(s),128,43,0.03652964263465778,0.23724695580911992,0.49684727673373935,0.6698434288201173,0.1911272943215013,0.15627623414646924,1.0,0.03652964263465778,0.6698434288201173,0.15627623414646924
neural,value-based,4,42,0.05415741505338737,-0.1308277392861279,-0.2594564061796287,0.705577191129829,0.2327174575604232,0.19074832462389546,1.0,0.05415741505338737,0.705577191129829,0.19074832462389546
neural,value-based,4,43,0.05307961754383831,-0.1083229110935322,-0.13643596990171267,0.7034180276505773,0.2303901420283392,0.18814888908506683,1.0,0.05307961754383831,0.7034180276505773,0.18814888908506683
neural,value-based,8,42,0.06283326518187593,-0.31198284016220534,-0.1202750217935573,0.7244939860058537,0.2506656441993516,0.205661071425582,1.0,0.06283326518187593,0.7244939860058537,0.205661071425582
neural,value-based,8,43,0.04146179727211499,0.1342616624197066,0.4010004281755187,0.6800006232375139,0.20362170137810703,0.1662226959467107,1.0,0.04146179727211499,0.6800006232375139,0.1662226959467107
neural,value-based,16,42,0.07133240867070549,-0.4894482381666547,-0.039905995988250786,0.7455975929771275,0.267081277274738,0.21570090358836236,1.0,0.07133240867070549,0.7455975929771275,0.21570090358836236
neural,value-based,16,43,0.04655383051375997,0.027938042037476962,0.1788738615239567,0.6903147836384619,0.2157633669411005,0.17674157940234464,1.0,0.04655383051375997,0.6903147836384619,0.17674157940234464
neural,value-based,32,42,0.04275616658525099,0.10723473133867123,0.3369401344746358,0.682804153476437,0.20677564311410324,0.17087132413297626,1.0,0.04275616658525099,0.682804153476437,0.17087132413297626
neural,value-based,32,43,0.049540636661949265,-0.03442762369662922,0.1068269355920575,0.6964281702231887,0.22257725998391945,0.18042343626450533,1.0,0.049540636661949265,0.6964281702231887,0.18042343626450533
neural,value-based,64,42,0.04310377336338185,0.09997656758239237,0.38041162520405003,0.6844404035400863,0.2076144825472969,0.16723483215657806,1.0,0.04310377336338185,0.6844404035400863,0.16723483215657806
neural,value-based,64,43,0.04443781610683101,0.07212123995646058,0.3961618892226477,0.686247806637403,0.2108027896087502,0.17213419123738732,1.0,0.04443781610683101,0.686247806637403,0.17213419123738732
neural,value-based,128,42,0.04469021760324894,0.06685099924601745,0.3400766711890003,0.686541196509537,0.21140060927832952,0.17344436908779015,1.0,0.04469021760324894,0.686541196509537,0.17344436908779015
neural,value-based,128,43,0.045512945105838164,0.04967213129442927,0.40469082806412104,0.6923715394055507,0.21333763171517153,0.17153244923517383,1.0,0.045512945105838164,0.6923715394055507,0.17153244923517383
symbolic,EU,4,42,0.03115542033715329,0.3494627926454459,0.5993607198567513,0.659778029841997,0.17650898089659148,0.14372289697974677,1.0,0.03115542033715329,0.659778029841997,0.14372289697974677
