split_type,model_type,fraction,seed,test_mse,test_cross_entropy
train_test,context_dependent,0.82,42,0.014201570989526954,0.6212822869479254
train_test,context_dependent_sigmoid,0.82,42,0.012449878879624275,0.6175197342075276
train_test,value_based,0.84,42,0.0213715139393016,0.6393633309787192
train_test,context_dependent,0.84,42,0.013508192948202288,0.6200708461145259
train_test,context_dependent_sigmoid,0.84,42,0.013348647112297425,0.6193920811254674
train_test,value_based,0.86,42,0.021547499437335527,0.6396747183085073
train_test,context_dependent,0.86,42,0.0133818643281062,0.619560900264438
train_test,context_dependent_sigmoid,0.86,42,0.013155078411114194,0.6190689769865639
train_test,value_based,0.88,42,0.02075973501127829,0.6376105960049306
train_test,context_dependent,0.88,42,0.013182762932008447,0.6189897771283502
train_test,context_dependent_sigmoid,0.88,42,0.013440294901919227,0.6196431973607224
train_test,value_based,0.9,42,0.020835307016094852,0.6378729203527109
train_test,context_dependent,0.9,42,0.01339327499179146,0.6192295648925067
train_test,context_dependent_sigmoid,0.9,42,0.013196235677821728,0.6190604223857418
train_test,value_based,0.92,42,0.020981081525114253,0.6382199395873367
train_test,context_dependent,0.92,42,0.012960164952723773,0.6184697316189197
train_test,context_dependent_sigmoid,0.92,42,0.01305067146575929,0.6185081225874427
train_test,value_based,0.94,42,0.02042306456496176,0.6370660982014416
train_test,context_dependent,0.94,42,0.012768255059205303,0.6177275081344094
train_test,context_dependent_sigmoid,0.94,42,0.012943995072099432,0.618555603354041
train_test,value_based,0.96,42,0.020666811981441362,0.6374047759583407
train_test,context_dependent,0.96,42,0.012646202058011997,0.618170665225926
train_test,context_dependent_sigmoid,0.96,42,0.013200865252029006,0.6192100052197015
train_test,value_based,0.98,42,0.02156001086779933,0.6394902449199806
train_test,context_dependent,0.98,42,0.012887026458990413,0.6184611789822501
train_test,context_dependent_sigmoid,0.98,42,0.013076718237954461,0.6185252926436188
train_test,value_based,1.0,42,0.02031338227858548,0.6365069673359006
train_test,context_dependent,1.0,42,0.013216608044643615,0.6194446477774619
train_test,context_dependent_sigmoid,1.0,42,0.013154413019066962,0.6186124809472193
